業績年月份,公司別,rows,實收金額,除佣實收,實付金額,電台實付金額
2026/10,聲活,65,4878495.0,4525443.8,4727989.65,4727989.65
2026/10,鉑霖,16,867837.2,867837.2,341875.35,341875.35
2026/11,東吳,13,507043.0,507043.0,221992.0,221992.0
2026/11,聲活,49,5010591.0,4820114.8,4087996.65,4087996.65
2026/11,鉑霖,14,466501.4,418384.8,169192.55,169192.55
2026/12,東吳,8,235714.0,235714.0,92857.0,92857.0
2026/12,聲活,52,4845162.0,4632185.8,4023996.65,4023996.65
2027/01,聲活,6,250000.0,250000.0,162500.0,162500.0
2027/02,聲活,3,250000.0,250000.0,162500.0,162500.0
2027/03,聲活,6,500000.0,500000.0,325000.0,325000.0
2027/04,聲活,3,250000.0,250000.0,162500.0,162500.0
2027/05,聲活,3,0.0,0.0,0.0,0.0
2027/06,聲活,3,0.0,0.0,0.0,0.0
